Angle(deg),X(mm),Y(mm)
0,23.399,0.0
1,23.4,0.408
2,23.401,0.817
3,23.403,1.227
4,23.407,1.637
5,23.411,2.048
6,23.416,2.461
7,23.421,2.876
8,23.428,3.293
9,23.434,3.712
10,23.442,4.133
11,23.449,4.558
12,23.456,4.986
13,23.464,5.417
14,23.471,5.852
15,23.477,6.291
16,23.483,6.734
17,23.488,7.181
18,23.492,7.633
19,23.495,8.09
20,23.495,8.552
21,23.494,9.019
22,23.491,9.491
23,23.486,9.969
24,23.477,10.453
25,23.466,10.942
26,23.451,11.438
27,23.432,11.939
28,23.409,12.447
29,23.382,12.961
30,23.351,13.481
31,23.314,14.008
32,23.271,14.542
33,23.223,15.081
34,23.169,15.628
35,23.108,16.18
36,23.04,16.74
37,22.965,17.306
38,22.882,17.878
39,22.792,18.456
40,22.692,19.041
41,22.584,19.632
42,22.467,20.229
43,22.339,20.832
44,22.202,21.441
45,22.055,22.055
46,21.897,22.675
47,21.727,23.3
48,21.546,23.93
49,21.354,24.564
50,21.149,25.204
51,20.931,25.847
52,20.7,26.495
53,20.456,27.147
54,20.199,27.801
55,19.927,28.459
56,19.642,29.12
57,19.341,29.783
58,19.026,30.448
59,18.696,31.115
60,18.35,31.783
61,17.988,32.452
62,17.611,33.121
63,17.217,33.79
64,16.807,34.459
65,16.38,35.127
66,15.936,35.793
67,15.475,36.458
68,14.997,37.12
69,14.502,37.779
70,13.989,38.435
71,13.459,39.087
72,12.911,39.735
73,12.345,40.378
74,11.761,41.015
75,11.159,41.646
76,10.539,42.271
77,9.901,42.888
78,9.246,43.498
79,8.572,44.099
80,7.88,44.691
81,7.171,45.274
82,6.443,45.847
83,5.698,46.41
84,4.936,46.961
85,4.156,47.5
86,3.358,48.027
87,2.544,48.541
88,1.713,49.042
89,0.865,49.528
90,0.0,50.0
91,-0.881,50.457
92,-1.777,50.897
93,-2.69,51.322
94,-3.617,51.729
95,-4.56,52.119
96,-5.517,52.491
97,-6.489,52.845
98,-7.474,53.18
99,-8.473,53.494
100,-9.485,53.789
101,-10.509,54.064
102,-11.545,54.317
103,-12.594,54.549
104,-13.653,54.759
105,-14.723,54.947
106,-15.803,55.111
107,-16.892,55.253
108,-17.991,55.371
109,-19.098,55.465
110,-20.213,55.534
111,-21.335,55.579
112,-22.463,55.598
113,-23.598,55.593
114,-24.738,55.561
115,-25.882,55.504
116,-27.03,55.421
117,-28.182,55.311
118,-29.337,55.174
119,-30.493,55.01
120,-31.65,54.82
121,-32.808,54.602
122,-33.966,54.357
123,-35.123,54.084
124,-36.278,53.784
125,-37.43,53.456
126,-38.58,53.1
127,-39.725,52.717
128,-40.866,52.306
129,-42.001,51.867
130,-43.13,51.401
131,-44.252,50.906
132,-45.367,50.385
133,-46.473,49.836
134,-47.569,49.259
135,-48.656,48.656
136,-49.732,48.025
137,-50.796,47.368
138,-51.848,46.684
139,-52.887,45.974
140,-53.912,45.238
141,-54.923,44.476
142,-55.919,43.688
143,-56.898,42.876
144,-57.861,42.039
145,-58.807,41.177
146,-59.735,40.292
147,-60.644,39.383
148,-61.533,38.45
149,-62.403,37.496
150,-63.252,36.519
151,-64.08,35.52
152,-64.885,34.5
153,-65.669,33.46
154,-66.429,32.399
155,-67.165,31.32
156,-67.877,30.221
157,-68.565,29.104
158,-69.227,27.97
159,-69.864,26.818
160,-70.474,25.65
161,-71.057,24.467
162,-71.614,23.269
163,-72.142,22.056
164,-72.643,20.83
165,-73.115,19.591
166,-73.559,18.34
167,-73.973,17.078
168,-74.358,15.805
169,-74.714,14.523
170,-75.039,13.231
171,-75.334,11.932
172,-75.599,10.625
173,-75.833,9.311
174,-76.036,7.992
175,-76.209,6.667
176,-76.35,5.339
177,-76.46,4.007
178,-76.538,2.673
179,-76.585,1.337
180,-76.601,0.0
181,-76.585,-1.337
182,-76.538,-2.673
183,-76.46,-4.007
184,-76.35,-5.339
185,-76.209,-6.667
186,-76.036,-7.992
187,-75.833,-9.311
188,-75.599,-10.625
189,-75.334,-11.932
190,-75.039,-13.231
191,-74.714,-14.523
192,-74.358,-15.805
193,-73.973,-17.078
194,-73.559,-18.34
195,-73.115,-19.591
196,-72.643,-20.83
197,-72.142,-22.056
198,-71.614,-23.269
199,-71.057,-24.467
200,-70.474,-25.65
201,-69.864,-26.818
202,-69.227,-27.97
203,-68.565,-29.104
204,-67.877,-30.221
205,-67.165,-31.32
206,-66.429,-32.399
207,-65.669,-33.46
208,-64.885,-34.5
209,-64.08,-35.52
210,-63.252,-36.519
211,-62.403,-37.496
212,-61.533,-38.45
213,-60.644,-39.383
214,-59.735,-40.292
215,-58.807,-41.177
216,-57.861,-42.039
217,-56.898,-42.876
218,-55.919,-43.688
219,-54.923,-44.476
220,-53.912,-45.238
221,-52.887,-45.974
222,-51.848,-46.684
223,-50.796,-47.368
224,-49.732,-48.025
225,-48.656,-48.656
226,-47.569,-49.259
227,-46.473,-49.836
228,-45.367,-50.385
229,-44.252,-50.906
230,-43.13,-51.401
231,-42.001,-51.867
232,-40.866,-52.306
233,-39.725,-52.717
234,-38.58,-53.1
235,-37.43,-53.456
236,-36.278,-53.784
237,-35.123,-54.084
238,-33.966,-54.357
239,-32.808,-54.602
240,-31.65,-54.82
241,-30.493,-55.01
242,-29.337,-55.174
243,-28.182,-55.311
244,-27.03,-55.421
245,-25.882,-55.504
246,-24.738,-55.561
247,-23.598,-55.593
248,-22.463,-55.598
249,-21.335,-55.579
250,-20.213,-55.534
251,-19.098,-55.465
252,-17.991,-55.371
253,-16.892,-55.253
254,-15.803,-55.111
255,-14.723,-54.947
256,-13.653,-54.759
257,-12.594,-54.549
258,-11.545,-54.317
259,-10.509,-54.064
260,-9.485,-53.789
261,-8.473,-53.494
262,-7.474,-53.18
263,-6.489,-52.845
264,-5.517,-52.491
265,-4.56,-52.119
266,-3.617,-51.729
267,-2.69,-51.322
268,-1.777,-50.897
269,-0.881,-50.457
270,-0.0,-50.0
271,0.865,-49.528
272,1.713,-49.042
273,2.544,-48.541
274,3.358,-48.027
275,4.156,-47.5
276,4.936,-46.961
277,5.698,-46.41
278,6.443,-45.847
279,7.171,-45.274
280,7.88,-44.691
281,8.572,-44.099
282,9.246,-43.498
283,9.901,-42.888
284,10.539,-42.271
285,11.159,-41.646
286,11.761,-41.015
287,12.345,-40.378
288,12.911,-39.735
289,13.459,-39.087
290,13.989,-38.435
291,14.502,-37.779
292,14.997,-37.12
293,15.475,-36.458
294,15.936,-35.793
295,16.38,-35.127
296,16.807,-34.459
297,17.217,-33.79
298,17.611,-33.121
299,17.988,-32.452
300,18.35,-31.783
301,18.696,-31.115
302,19.026,-30.448
303,19.341,-29.783
304,19.642,-29.12
305,19.927,-28.459
306,20.199,-27.801
307,20.456,-27.147
308,20.7,-26.495
309,20.931,-25.847
310,21.149,-25.204
311,21.354,-24.564
312,21.546,-23.93
313,21.727,-23.3
314,21.897,-22.675
315,22.055,-22.055
316,22.202,-21.441
317,22.339,-20.832
318,22.467,-20.229
319,22.584,-19.632
320,22.692,-19.041
321,22.792,-18.456
322,22.882,-17.878
323,22.965,-17.306
324,23.04,-16.74
325,23.108,-16.18
326,23.169,-15.628
327,23.223,-15.081
328,23.271,-14.542
329,23.314,-14.008
330,23.351,-13.481
331,23.382,-12.961
332,23.409,-12.447
333,23.432,-11.939
334,23.451,-11.438
335,23.466,-10.942
336,23.477,-10.453
337,23.486,-9.969
338,23.491,-9.491
339,23.494,-9.019
340,23.495,-8.552
341,23.495,-8.09
342,23.492,-7.633
343,23.488,-7.181
344,23.483,-6.734
345,23.477,-6.291
346,23.471,-5.852
347,23.464,-5.417
348,23.456,-4.986
349,23.449,-4.558
350,23.442,-4.133
351,23.434,-3.712
352,23.428,-3.293
353,23.421,-2.876
354,23.416,-2.461
355,23.411,-2.048
356,23.407,-1.637
357,23.403,-1.227
358,23.401,-0.817
359,23.4,-0.408
